repo_name,title,page_url
IPBES_TG_robinson_projection,Part 1 - Conversion to the Robinson Projection,https://ipbes-data.github.io/IPBES_TG_robinson_projection/
IPBES_TG_contributing_authors,Part 10 - Contributing authors template email,https://ipbes-data.github.io/IPBES_TG_contributing_authors/
IPBES_TG_indicators,Part 11 - How to Document an Indicator,https://ipbes-data.github.io/IPBES_TG_indicators/
IPBES_TG_OoW_File_Naming,Part 12A - file naming convention,https://ipbes-data.github.io/IPBES_TG_OoW_File_Naming/
IPBES_TG_OoW_Versioning,Part 12B - versioning scheme,https://ipbes-data.github.io/IPBES_TG_OoW_Versioning/
IPBES_TG_OoW_Experts_Lists,Part 12C - experts list,https://ipbes-data.github.io/IPBES_TG_OoW_Experts_Lists/
IPBES_TG_mapping_regions,Part 2 - Preparing and mapping data,https://ipbes-data.github.io/IPBES_TG_mapping_regions/
IPBES_TG_cartographic_guidelines,Part 3 - Cartographic Guidelines,https://ipbes-data.github.io/IPBES_TG_cartographic_guidelines/
IPBES_TG_colour,Part 4 - Guidelines for Colour,https://ipbes-data.github.io/IPBES_TG_colour/
IPBES_TG_file_formats,Part 5 - File Formats,https://ipbes-data.github.io/IPBES_TG_file_formats/
IPBES_TG_zenodo,Part 6 - How to Upload to and Download from Zenodo,https://ipbes-data.github.io/IPBES_TG_zenodo/
IPBES_TG_figures,Part 8 - Guidelines for the delivery of figures,https://ipbes-data.github.io/IPBES_TG_figures/
IPBES_TG_ilk,Part 9 - Considerations when working with Indigenous and local knowledge,https://ipbes-data.github.io/IPBES_TG_ilk/
IPBES_TG_Snowballing,Snowball Search for Literature Search and Analysis using OpenAlex,https://ipbes-data.github.io/IPBES_TG_Snowballing/
IPBES_TG_TEMPLATE,TEMPLATE - How To Author a Technical Guideline,https://ipbes-data.github.io/IPBES_TG_TEMPLATE/
